Week,Forecast
2016-09-11,18839315.0
2016-09-18,18839315.0
2016-09-25,18839315.0
2016-10-02,18839315.0
2016-10-09,18839315.0
2016-10-16,18839315.0
2016-10-23,18839315.0
2016-10-30,18839315.0
2016-11-06,18839315.0
2016-11-13,18839315.0
2016-11-20,18839315.0
2016-11-27,18839315.0
2016-12-04,18839315.0
2016-12-11,18839315.0
2016-12-18,18839315.0
2016-12-25,18839315.0
2017-01-01,18887034.52385974
2017-01-08,40057848.52385974
2017-01-15,38556057.52385974
2017-01-22,40215982.52385974
2017-01-29,34868673.52385974
2017-02-05,42080585.52385974
2017-02-12,32706049.52385974
2017-02-19,34056919.52385974
2017-02-26,35194602.52385974
2017-03-05,41041832.52385974
2017-03-12,37752428.52385974
2017-03-19,42578619.52385974
2017-03-26,36862201.52385974
2017-04-02,38878535.52385974
2017-04-09,39303541.52385974
2017-04-16,36672992.52385974
2017-04-23,38553719.52385974
2017-04-30,35482578.52385974
2017-05-07,30782979.52385974
2017-05-14,41255349.52385974
2017-05-21,37640281.52385974
2017-05-28,39061727.52385974
2017-06-04,38388261.52385974
2017-06-11,37034719.52385974
2017-06-18,33870985.52385974
2017-06-25,37355746.52385974
2017-07-02,42896804.52385974
2017-07-09,41203942.52385974
2017-07-16,37276142.52385974
2017-07-23,35560102.52385974
2017-07-30,45254688.52385974
2017-08-06,40329840.52385974
2017-08-13,32704308.52385974
2017-08-20,33802094.52385974
2017-08-27,37006891.52385974
2017-09-03,37630910.52385974
